,축제명,주소,연락처,시작일,종료일,위도,경도
199,서귀포문화재야행,제주특별자치도 서귀포시 남성로128번길 13,070-8990-9999,2021-10-08,2021-10-11,33.2417982612,126.5559872587
200,서대문 문화재야행,서울특별시 서대문구 연희로 248,070-7575-2351,2021-08-15,2021-09-12,37.5792770177,126.9368133493
201,"서대문, 1919 그날의 함성! 2021",온라인개최,02-360-8590,2021-02-22,2021-03-01,37.5745751240,126.9556173237
202,서울 국제 푸드 앤 테이블웨어 박람회 2021,서울특별시 서초구 강남대로 27,02-511-1540,2021-05-07,2021-05-09,37.4672141004,127.0396016001
203,서울 아시테지 겨울축제 2021,온라인개최,02-745-5862~3,2021-01-06,2021-01-24,37.5904796058,126.9988129355
204,서울 케이팝 댄스 페스티벌,서울특별시 동대문구 답십리로 72,010-3246-5710,2021-05-19,2021-05-22,37.5752683826,127.0487254857
205,서울100K (SEOUL100K),서울 중구 태평로 2가 17-3,02-516-2010,2021-10-16,2021-10-17,37.5653988094,126.9777155697
206,서울365거리공연,서울특별시 마포구 연남로1길 55,02-542-2695,2021-06-07,2021-11-30,37.5595179109,126.9204598433
207,서울국제대안영상예술페스티벌,서울특별시 마포구 와우산로35길 53,02-337-2870,2021-08-24,2021-08-24,37.5564295139,126.9278870311
208,서울국제도서전,서울특별시 성동구 연무장15길 11,02-7333-8402,2021-09-08,2021-10-16,37.5428834410,127.0590032474
209,서울국제실험영화페스티벌,서울특별시 마포구 월드컵로 74,02-3141-1841,2021-09-09,2021-09-16,37.5558320544,126.9107358337
210,서울국제여성영화제,서울특별시 마포구 월드컵로 161,02-583-3598,2021-08-26,2021-09-01,37.5620201117,126.9044306782
211,서울국제작가축제(Seoul International Writers' Festival),온라인 개최,siwf@klti.or.kr,2021-10-08,2021-10-24,37.5152867161,127.0628786765
212,서울국제주류박람회 2021,서울특별시 강남구 영동대로 513 코엑스 B홀,02-761-2518,2021-07-02,2021-07-04,37.5117592813,127.0591874466
213,서울도시농업박람회,서울시 양천구 신정동 871-2,02-6358-7775,2021-05-27,2021-05-30,37.5205772468,126.8787480766
214,서울드럼페스티벌,서울특별시 중구 동호로 241,070-4272-7330,2021-05-28,2021-05-29,37.5582390522,127.0068047884
215,서울디자인페스티벌,서울특별시 강남구 영동대로 513,02-2262-7200,2021-12-22,2021-12-26,37.5117148467,127.0594429796
216,서울라이트(SEOUL LIGHT),서울특별시 중구 을지로 281,02-2133-2704,2021-03-26,2021-04-01,37.5675991318,127.0099486810
217,서울랜드 겨울 빛축제 2021,경기도 과천시 광명로 181,02-509-6000,2020-11-27,2021-03-01,37.4366477965,127.0169239697
218,서울리빙디자인페어,서울특별시 강남구 영동대로 513,02-2262-7152,2021-05-26,2021-05-23,37.5117148467,127.0594429796
219,서울모터쇼 (Seoul Motor Show) 2021,경기도 고양시 일산서구 킨텍스로 217-60,02-3660-1894,2021-11-25,2021-12-05,37.6689909419,126.7455782754
220,서울무용제,서울특별시 종로구 대학로8길 7,02-744-8066,2021-11-10,2021-11-28,37.5811724288,127.0029794866
221,서울세계도시문화축제,서울특별시 중구 세종대로 110,02-786-7518,2021-10-01,2021-10-10,37.5666625635,126.9784043599
222,서울스트리트댄스페스티벌,서울특별시 마포구 증산로 87,02-2272-1917,2021-08-07,2021-08-07,37.5703995248,126.8950451862
223,서울시민연극제,서울특별시 관악구 신림로3길 35,02-765-7500,2021-08-24,2021-09-12,37.4676512424,126.9448852069
224,서울연극제,서울특별시 종로구 대학로8길 7,02-765-7500,2021-04-30,2021-05-30,37.5811724288,127.0029794866
225,서울영상광고제 2021,온라인개최,02-3447-0101,2021-01-05,2021-01-05,37.5665986816,126.9783710306
226,서울일러스트레이션페어V.11,서울특별시 강남구 봉은사로63길 35,02-2062-8601,2021-08-25,2021-08-28,37.5136810472,127.0462413481
227,서울장미축제,서울특별시 중랑구 중랑천로 332,02-3407-6531,2021-05-13,2021-05-31,37.6143448429,127.0735276696
228,서울청소년연극축제,서울특별시 중구 세종대로19길 16,02-765-7500,2021-07-16,2021-07-24,37.5667736284,126.9765823002
229,서울카페쇼 2021,서울특별시 강남구 영동대로 513,02-6000-6720,2021-11-10,2021-11-13,37.5117592813,127.0591874466
230,서울프린지페스티벌,서울특별시 마포구 증산로 87,02-325-8250,2021-08-04,2021-08-29,37.5731297249,126.8929203036
231,서점의 날,서울특별시 구로구 가마산로25길 9-3,02-927-1437,2021-11-05,2021-11-11,37.4965969039,126.8902254828
232,서커스 캬바레 & 캬라반,서울특별시 광진구 아차산로 710,02-6203-2537,2021-09-03,2021-09-26,37.5558245690,127.1125313388
233,석촌호수 벚꽃축제,온라인개최,02-2147-2800,2021-04-02,2021-04-11,37.5111851145,127.1017724761
234,설빙송어빙어축제 2021,경기도 가평군 청평면 강변로 17,031-584-2755,2020-12-31,2021-02-25,37.7346564825,127.4133710249
235,섬 겨울꽃 랜선 축제 2020,전라남도 신안군 압해읍 수락길 330,061-240-8778,2020-12-11,2021-01-31,34.8436285971,126.2519711582
236,성남아트센터 마티네콘서트,경기도 성남시 분당구 성남대로 808,031-783-8000,2021-03-18,2021-12-16,37.4019566143,127.1292175196
237,세계 우유의 날 기념 밀크온 콘서트,서울특별시 서초구 서초대로 141-25,02-588-7202~3,2021-06-01,2021-06-01,37.4895107763,126.9985741482
238,세계유산 공주 공산성 미디어아트 '백제연화',충청남도 공주시 웅진로 280,041)852-1552~3,2021-09-24,2021-10-24,36.4652561875,127.1237188858
239,세계유산 활용프로그램 <수원화성 낭만소풍>,경기도 수원시 장안구 영화동 320-2,031-290-3573,2021-05-08,2021-10-23,37.2872039225,127.0120008348
240,세계유산축전,서울특별시 종로구 사직로 161,02-3210-4633,2021-08-13,2021-10-24,37.5788944508,126.9770319156
241,세계유산축전 수원화성,경기 수원시 장안구 영화동 320-2,031-228-1010,2021-10-02,2021-10-24,37.2872039225,127.0120008348
242,세계유산축전 안동,경상북도 안동시 도산면 도산서원길 154,054)851-7182,2021-09-04,2021-09-26,36.7279519770,128.8403748187
243,세계유산축전 - '제주 화산섬과 용암동굴',제주특별자치도 제주시 조천읍 선교로 569-36,064-710-6873,2021-10-01,2021-10-17,33.4569020299,126.7142575546
244,세미원 연꽃여행,경기도 양평군 양서면 양수로 93,031-775-1835,2021-06-21,2021-08-15,37.5409273515,127.3239403130
245,세종조치원복숭아축제,세종특별자치시 연서면 월하천로 289,044-864-2164,2021-07-26,2021-08-01,36.5726911326,127.2833738631
246,속초 음악불꽃크루즈 2021,강원도 속초시 중앙로 214-1,1522-8905,2021-01-01,2021-12-31,38.2096096416,128.5934271477
247,수문장 교대의식,서울특별시 종로구 사직로 161,02-3210-1645,2021-01-01,2021-12-31,37.5801859611,126.9767235747
248,수성못 페스티벌(SUSEONG LAKE FESTIVAL),대구광역시 수성구 무학로 112,053-666-2000,2021-10-01,2021-10-03,35.8293778245,128.6205949230
249,수원 문화재 야행,경기도 수원시 팔달구 정조로 825,031-290-3572~3575,2021-10-15,2021-10-17,37.2818712498,127.0143757682
250,수원발레축제,경기도 수원시 장안구 이목로 24-25,02-2263-4680,2021-08-16,2021-08-22,37.3097508547,126.9864802990
251,수원화성 빛의 산책로,경기도 수원시 장안구 연무동 190,031-290-3600,2021-01-01,2021-12-31,37.2874872131,127.0114425437
252,수원화성의 비밀 2021,경기도 수원시 팔달구 행궁로 11,031-290-3563,2021-01-01,2021-12-31,37.2810769133,127.0152812635
253,순천 푸드&아트 페스티벌,전라남도 순천시 감사터길 15,061-749-5502,2021-11-12,2021-11-13,34.9569365135,127.4850818730
254,스마트국토엑스포,서울특별시 강남구 영동대로 513,031-738-5170,2021-07-21,2021-07-23,37.5117592813,127.0591874466
255,시끌벅적 과학축제,서울특별시 광진구 구천면로 2,02-2204-3190,2021-04-25,2021-04-25,37.5464088823,127.1062266254
256,"시민청 6-8월 문화예술 프로그램 <여름, 시민청>",서울특별시 중구 세종대로 110,공연 02-739-7331<br> 미디어아트·체험 02-739-5811<br> 장터 02-739-5226,2021-06-04,2021-08-27,37.5666625635,126.9784043599
257,시크릿,서울특별시 종로구 동숭길 72,02-747-7407,2021-01-01,2021-12-31,37.5814363108,127.0042904706
258,신안 국제 문페스타(Shinan International Moon Soon Deuk Festa),전라남도 신안군 자은면 자은서부2길 508-65,061-243-9786,2021-10-23,2021-10-24,34.8779816821,125.9959235736
259,신안 섬수국축제,전남 신안군 도초면 지남리,061-240-8454,2021-06-18,2021-06-27,34.6815388662,125.9285452858
260,실버문화페스티벌,온라인개최,02-719-9062,2021-10-18,2021-10-29,37.5570966421,126.9579759370
261,실향민문화축제,"강원도 속초시 청호동 550-13, 아바이마을",033-636-0670,2021-06-23,2021-06-27,38.2037159039,128.5944827913
262,아라뱃길 꿈잇水다 청년 이야기 위크,온라인개최,031-999-7834,2021-10-23,2021-10-28,37.5977083101,126.7869848326
263,아세안 영화주간 - 온:택트,서울특별시 강남구 논현로 848,aseancw@gmail.com,2021-03-12,2021-03-25,37.5246239091,127.0288731753
264,아시아문화포럼,온라인개최,062-670-7435,2021-10-13,2021-10-13,35.1467693755,126.9202851804
265,아시아프,서울특별시 마포구 와우산로 94,02-724-6324,2021-07-27,2021-08-22,37.5512772937,126.9255540555
266,아시테지 국제여름축제,서울특별시 종로구 동숭길 114,02-745-5863,2021-07-17,2021-08-08,37.5832416489,127.0038654579
267,아이가 행복입니다,서울특별시 송파구 올림픽로 300,1855-3164,2021-09-10,2021-09-11,37.5126099637,127.1025668077
268,아침고요 야생화전시회,경기도 가평군 상면 수목원로 432,1544-6703,2021-03-20,2021-04-08,37.7439487308,127.3525096320
269,아침고요수목원 들국화전시회,경기도 가평군 상면 수목원로 432,1544-6703,2021-09-17,2021-10-17,37.7417489763,127.3519430810
270,아침고요수목원 무궁화전시회,경기도 가평군 상면 수목원로 432,1544-6703,2021-07-24,2021-08-22,37.7424072328,127.3519180642
271,아침고요수목원 봄나들이 봄꽃축제,경기도 가평군 상면 수목원로 432,1544-6703,2021-04-10,2021-05-19,37.7417489763,127.3519430810
272,아침고요수목원 수국전시회,경기도 가평군 상면 수목원로 432,1544-6703,2021-06-05,2021-07-04,37.7440126130,127.3525568480
273,안동 한지축제,경북 안동시 풍산읍 소산리,054-855-0471,2021-10-01,2021-10-03,36.5508635477,128.5282910352
274,안무가 매칭 프로젝트 제23회 생생 춤 페스티벌,서울특별시 종로구 대학로10길 15-15,(사)한국현대무용협회 경영기획팀 02-763-5351,2021-10-14,2021-10-17,37.5825333800,127.0028600144
275,안산별빛마을 애니멀 & 하트빌리지 빛축제 2021,경기도 안산시 상록구 수인로 1723,031-484-5050,2021-01-01,2021-12-31,37.3394480000,126.8634434286
276,안성 남사당 상설공연,경기도 안성시 보개면 남사당로 198-2,031-678-2518,2021-03-27,2021-11-27,37.0318221187,127.3101448759
277,안성두메호수빙어축제 2021,경기도 안성시 죽산면 두메호수로 90,031-674-4528,2020-12-23,2021-02-14,37.0094684960,127.4284792701
278,안성맞춤 포도축제,경기도 안성시 서운면 서운중앙길 23,031-678-3732,2021-09-12,2021-09-12,36.9430869936,127.2592519417
279,안양시민축제 <우선멈'춤'프로젝트>,온라인개최,031-687-0500,2021-10-10,2021-11-30,37.3901438629,126.9612886704
280,야외기획공연 공연재생<이자람_이방인의 노래>,강원도 춘천시 효자상길5번길 13,033-259-5824,2021-07-22,2021-07-23,37.8726962735,127.7293520927
281,양기철철 단오,경기도 용인시 기흥구 민속촌로 90,031-288-0000,2021-06-19,2021-07-11,37.2593868634,127.1205445440
282,양양문화제,강원도 양양군 양양읍 양양로 114-5,033-671-8762,2021-06-15,2021-06-15,38.0742452792,128.6164903837
283,양주 눈꽃축제 2021,경기도 양주시 장흥면 권율로 594,080-233-7766,2020-12-24,2021-02-21,37.7581595486,126.9684887063
284,양평 용문산 산나물축제,온라인개최,031-770-2096,2021-05-01,2021-05-09,37.5463286753,127.5823278077
285,에버랜드 로즈가든,경기도 용인시 처인구 포곡읍 에버랜드로 199,031-320-5000,2021-05-14,2021-06-13,37.2939343647,127.2040721101
286,에버랜드 블러드시티,경기도 용인시 처인구 포곡읍 에버랜드로 199,에버랜드 관광안내소 031-321-9393<br />에버랜드 031-320-5000,2021-09-23,2021-11-21,37.2902124898,127.1994281916
287,에버랜드 썸머워터펀,경기도 용인시 처인구 포곡읍 에버랜드로 199,031-320-5000,2021-06-18,2021-08-29,37.2924319247,127.2131685506
288,에버랜드 튤립가든,경기도 용인시 처인구 포곡읍 에버랜드로 199,031-320-5000,2021-03-26,2021-04-30,37.2924319247,127.2131685506
289,에버랜드 Winter Wishes 2021,경기도 용인시 처인구 포곡읍 에버랜드로 199,에버랜드 관광안내소 031-321-9393<br />에버랜드 031-320-5000,2020-11-20,2021-03-01,37.2924319247,127.2131685506
290,여수 음악불꽃크루즈 2021,전라남도 여수시 돌산읍 돌산로 3617-18,1522-8905,2021-01-01,2021-12-31,34.7297302429,127.7369794626
291,여우樂 페스티벌,서울특별시 중구 장충단로 59,02-2280-4114,2021-07-02,2021-07-24,37.5519729781,126.9992473208
292,여주 흥천남한강벚꽃축제,경기도 여주시 흥천면 귀백리 38-8번지 일원,031-887-3875,2021-04-09,2021-04-11,37.3480678646,127.5583690338
293,연극 라이어 (대학로),서울특별시 종로구 대학로 144,02-747-2070,2021-01-01,2021-12-31,37.5839831970,127.0020350484
294,연극 수상한 흥신소,서울특별시 종로구 대학로 128,070-8129-7420,2021-01-01,2021-12-31,37.5827166790,127.0021350751
295,연등회,서울특별시 종로구 우정국로 55,02-2011-1744∼7,2021-05-14,2021-05-30,37.5733035136,126.9815038890
296,영동대로 카운트다운 2021,온라인개최,02-751-9356,2020-12-31,2021-01-01,37.5117148467,127.0594429796
297,영동대로 K-POP콘서트,서울특별시 강남구 학동로 426,02-3423-5542,2021-10-10,2021-10-10,37.5173584213,127.0475161280
298,영동포도축제,충청북도 영동군 영동읍 영동황간로 122,043-744-8916~8,2021-08-17,2021-09-15,36.1640162222,127.7819599172
299,영등포 단오축제,서울특별시 영등포구 신길로 275,영등포문화원 02-846-0155~6,2021-06-11,2021-06-11,37.5161700211,126.9121007163
300,영등포 여의도봄꽃축제,서울특별시 영등포구 여의서로,02-2670-3114,2021-04-05,2021-04-30,37.5320321034,126.9141334174
301,영산강 서창들녘 억새축제,광주광역시 서구 서창둑길 377,062-350-4792,2021-10-08,2021-10-11,35.1384854339,126.8287823667
302,영산강 환경·문화 뎐,광주광역시 남구 승촌보길 90,061-335-0866,2021-10-16,2021-10-17,35.0660063695,126.7611512602
303,영월 김삿갓 문화제,강원도 영월군 김삿갓면 와석리 897-2,033-375-6353,2021-10-02,2021-10-02,37.0826734728,128.6021939496
304,영월 단종문화제,강원도 영월군 영월읍 제방안길 100,033-375-6353,2021-04-30,2021-05-02,37.1786125178,128.4595900002
305,영월 붉은메밀 축제,강원도 영월군 영월읍 삼옥2리 먹골마을 동강변,영월읍사무소 033-374-3002,2021-10-02,2021-10-17,37.2225807141,128.5141921347
306,영주 소백산철쭉제,경상북도 영주시 대학로 77,054)630~8706~9,2021-05-29,2021-05-30,36.8045917160,128.6147843254
307,영천 보현산 별빛축제,경상북도 영천시 화북면 별빛로 681-32,054-330-6702,2021-10-08,2021-10-10,36.1402690623,128.9964752607
308,예천국제스마트폰영화제,경상북도 예천군 풍양면 삼강리길 41,054.655.8082,2021-10-16,2021-10-17,36.5633189943,128.3003470759
309,오감만족 문경새재맨발페스티벌,경상북도 문경시 문경읍 새재로 932,053-754-7981,2021-08-21,2021-08-21,36.7615977206,128.0769835905
310,오색별빛정원전 2021,경기도 가평군 상면 수목원로 432,1544-6703,2020-12-04,2021-03-14,37.7448402954,127.3525845994
311,오크밸리 3D 라이팅쇼 '소나타오브라이트',강원도 원주시 지정면 오크밸리1길 66,033-730-3146,2021-01-01,2021-12-31,37.4346459591,127.8177986180
312,오픈미디어아트페스티벌 - 디지털 아우라,서울특별시 마포구 증산로 87,010-3456-8991,2021-09-09,2021-09-12,37.5703995248,126.8950451862
313,옥탑방고양이,서울특별시 종로구 대학로10길 24,02-764-8760,2021-01-01,2021-12-31,37.5815918348,127.0035183141
314,온·오프라인 로하스박람회,제주특별자치도 서귀포시 중문관광로 224,064-722-3288,2021-08-13,2021-08-15,33.2413184576,126.4244653377
315,온라인 거제대구수산물축제 2020,온라인개최,055-681-2233,2020-12-16,2021-01-15,34.8669130314,128.7296921278
316,온라인 영동곶감축제(장터) 2021,온라인개최,043-745-8916~8,2021-01-18,2021-02-05,36.1640606617,127.7819682486
317,온라인 합천바캉스축제,온라인 개최,055-930-4666,2021-07-26,2021-09-17,35.5667020135,128.1658199314
318,온라인으로 즐기는 지리산 산청곶감축제 2021,온라인개최,055-973-0085,2021-01-07,2021-01-17,35.2743485813,127.8365066809
319,온앤오프 보령머드축제,충청남도 보령시 대해로 897-15,041-930-0891,2021-07-23,2021-08-01,36.3045418755,126.5170387613
320,온택트 2021 강남페스티벌,서울특별시 강남구 학동로 426,02)3423-5543,2021-10-01,2021-10-10,37.5173584213,127.0475161280
321,완주 프러포즈축제,전라북도 완주군 구이면 덕천전원길 232-58,063-290-2622,2021-05-22,2021-05-23,35.7260602293,127.1361790273
322,외솔한글한마당,울산광역시 중구 병영12길 15,052-716-5007,2021-10-08,2021-10-10,35.5748534232,129.3474827915
323,우리꽃 전시회,경기도 포천시 소흘읍 광릉수목원로 415,031-540-2000,2021-09-15,2021-09-24,37.7527359115,127.1625072572
324,울산 국제수소에너지전시회 및 포럼(H2WORLD),울산광역시 울주군 삼남읍 울산역로 255,052-255-1853,2021-11-10,2021-11-12,35.5556348578,129.1311799982
325,울산 쇠부리축제,울산광역시 북구 달천철장길 58,052-293-3500,2021-10-20,2021-10-24,35.6336492470,129.3294493702
326,울산 태화루 누각 상설공연,울산광역시 중구 태화로 300,울산광역시청 문화예술과  052-229-3742,2021-09-01,2021-11-30,35.5533995305,129.3076757594
327,울산안전산업위크(SAFETY WEEK),울산광역시 울주군 삼남읍 울산역로 255,052-255-1852,2021-10-20,2021-10-22,35.5556348578,129.1311799982
328,원주 용수골꽃양귀비축제,강원도 원주시 판부면 서곡리 1632-2,033-764-4443,2021-05-15,2021-06-06,37.2868069456,127.9382587109
329,원주 청소년축제,강원도 원주시 단구로 170,033-742-9997,2021-05-29,2021-05-30,37.3364513586,127.9461148905
330,원주한지문화제,강원도 원주시 한지공원길 151,033-734-4739,2021-05-01,2021-05-30,37.3343736211,127.9353798084
331,월미도 음악불꽃크루즈 2021,인천광역시 중구 월미문화로 21,1522-8905,2021-02-01,2021-12-31,37.4764857358,126.5984970903
332,유성국화마라톤 대회,대전광역시 유성구 봉명동 1013-1,042-823-5007,2021-10-24,2021-10-24,36.3608056480,127.3592922701
333,윤봉길 평화축제,충청남도 예산군 덕산면 덕산온천로 183-5,041-338-9514,2021-04-29,2021-05-30,36.6874585328,126.6525108898
334,의정부 음악극축제,경기도 의정부시 의정로 1,031-828-5841,2021-11-05,2021-11-14,37.7334330545,127.0340500917
335,이럴때 이런음악 '해설이 있는 청소년음악회'_영산아트홀,서울특별시 영등포구 여의공원로 101,02-332-5545,2021-08-07,2021-08-08,37.5293242775,126.9249130673
336,이병주 하동 국제문학제,경상남도 하동군 북천면 이명골길 14-28,055-882-2354,2021-10-01,2021-10-01,35.0972445341,127.8942978988
337,이월드 가을축제 <인생꽃 사진관>,대구광역시 달서구 두류공원로 200,053-620-0001,2021-09-18,2021-11-30,35.8548989086,128.5648463453
338,이월드 별빛벚꽃시즌 '다시 벚꽃 피다',대구광역시 달서구 두류공원로 200,053-620-0001,2021-03-20,2021-04-04,35.8527158532,128.5665129257
339,이월드 별빛축제 2021,대구광역시 달서구 두류공원로 200,053-620-0001,2020-11-21,2021-03-01,35.8548822436,128.5648324581
340,이월드 봄꽃시즌 2 : 유채한 봄,대구광역시 달서구 두류공원로 200,053-620-0001,2021-04-17,2021-05-02,35.8548989086,128.5648463453
341,이월드 봄꽃시즌 3 : 수국아일랜드,대구광역시 달서구 두류공원로 200,053-620-0001,2021-05-01,2021-08-01,35.8548989086,128.5648463453
342,이월드 아쿠아판타지,대구광역시 달서구 두류공원로 200,053-620-0001,2021-07-16,2021-08-31,35.8548822436,128.5648324581
343,이월드 여름축제 <호러 어드벤처>,대구광역시 달서구 두류공원로 200,053-620-0001,2021-06-19,2021-08-31,35.8548822436,128.5648324581
344,익산 미륵사지 미디어아트 쇼,전라북도 익산시 금마면 마전길 10,063-223-8101,2021-09-03,2021-10-02,36.0121033013,127.0127797666
345,익산문화재야행,전라북도 익산시 왕궁면 궁성로 666,063-859-5793,2021-11-12,2021-11-14,35.9715781122,127.0557186642
346,익산천만송이국화축제,익산시일원,"063-859-4977, 4334",2021-10-20,2021-11-14,35.9497293979,126.9861254464
347,인제에서 꽃길만 걷자,강원도 인제군 북면 십이선녀탕길 16,1577-8924,2021-10-08,2021-10-24,38.1856540989,128.3062095629
348,인천 개항장 문화재 야행,인천광역시 중구 신포로27번길 80,032-899-7426,2021-11-05,2021-11-07,37.4737642366,126.6215617279
349,인천 펜타포트 락페스티벌,인천광역시 연수구 센트럴로 350,1899-7188,2021-10-09,2021-10-10,37.4078332011,126.6324847807
350,인천국제디자인페어,인천광역시 연수구 센트럴로 123,070-4895-0879,2021-11-25,2021-11-28,37.3881746028,126.6455452451
351,인천국제해양포럼,인천광역시 연수구 센트럴로 123,02-2152-5085,2021-06-30,2021-07-01,37.3881662706,126.6455591327
352,인천여성영화제,인천광역시 미추홀구 미추홀대로 716,032-330-3080,2021-07-08,2021-07-11,37.4613528325,126.6806289059
353,임방울국악제 전국대회,광주광역시 남구 천변좌로338번길 7,062-521-0731~2,2021-10-01,2021-10-04,35.1479801537,126.9086639556
354,전남국제수묵비엔날레,전라남도 목포시 남농로 102,061-280-5872,2021-09-01,2021-10-31,34.7917871569,126.4182854798
355,전라감영이 돌아왔다,전라북도 전주시 완산구 전라감영로 55,063-232-9938,2021-05-08,2021-06-27,35.8166417663,127.1459424630
356,전라북도 거리극축제 노상놀이야,전라북도 전주시 완산구 기린대로 99,063-236-1577,2021-05-15,2021-10-30,35.8183333748,127.1536778411
357,전쟁기념관 현충일 온라인 그림그리기 대회,서울특별시 용산구 이태원로 29,"02-709-3143, 3145",2021-06-01,2021-06-30,37.5373270838,126.9784385198
358,전주 경기전 '수복청 상설공연',전라북도 전주시 완산구 태조로 44,063-232-9938,2021-05-22,2021-10-10,35.8162807559,127.1493699447
359,전주 한옥마을 경기전 '왕과의 산책',전라북도 전주시 완산구 태조로 44,063-232-9938,2021-05-22,2021-10-02,35.8162252063,127.1493588361
360,전주 한옥마을 '경기전 사람들',전라북도 전주시 완산구 태조로 44,063-232-9938,2021-05-22,2021-10-02,35.8162807559,127.1493699447
361,전주 한지문화축제,전라북도 전주시 완산구 현무1길 20,063-271-2503,2021-05-05,2021-05-07,35.8206802363,127.1482671501
362,전주국제영화제,전라북도 전주시 완산구 전주객사4길 46,063-288-5433,2021-04-29,2021-05-08,35.8200080116,127.1437203505
363,전주대사습놀이,전라북도 전주시 완산구 풍남문4길 27,063-252-6792,2021-05-15,2021-05-31,35.8148836206,127.1451981307
364,전주독서대전,전라북도 전주시 완산구 전주천동로 20,전주시 책의도시인문교육본부 책의도시여행과 책읽는도시팀063-230-1859,2021-10-08,2021-10-14,35.8122508208,127.1586775554
365,전주문화재야행,전라북도 전주시 완산구 태조로 44,063-232-9937,2021-10-22,2021-10-23,35.8162807559,127.1493699447
366,전주세계소리축제,전라북도 전주시 덕진구 소리로 31,063-232-8394,2021-09-29,2021-10-03,35.8553233330,127.1376921847
367,전주역사박물관 설날 세시풍속 한마당,전라북도 전주시 완산구 쑥고개로 259,063-228-6485,2021-02-11,2021-02-14,35.8012592666,127.0930836796
368,"전주한복문화주간 ""전주한복결""",전라북도 전주시 완산구 경기전길 29-13,010-9682-2789,2021-10-11,2021-10-17,35.8182722203,127.1507947659
369,"전통의 전주, 살아있는 전라감영",전라북도 전주시 완산구 전라감영로 55,063-236-1577,2021-07-01,2021-09-30,35.8166417663,127.1459424630
370,젊은안무자창작공연,서울특별시 양천구 목동서로 225,"02-744-8066, 070-5213-0038/2806",2021-04-14,2021-04-21,37.5271541181,126.8707958384
371,정서진피크닉클래식,인천광역시 서구 염곡로464번길 15,032-510-6044~5,2021-08-27,2021-10-31,37.5264450979,126.6711196278
372,정선 아라리촌 놀이마당,강원도 정선군 정선읍 애산로 37,033-560-3016,2021-07-03,2021-09-04,37.3741912507,128.6715123775
373,정선아리랑극 아리아라리,강원도 정선군 정선읍 애산로 51,033-560-3017,2021-04-02,2021-11-27,37.3763882199,128.6715234213
374,정선인형극제,강원도 정선군 정선읍 애산로 165,아라리인형의집 033-563-9667,2021-08-26,2021-08-28,37.3880396656,128.6721063518
375,정읍사문화제,전라북도 정읍시 정읍사로 541,063-532-8880,2021-09-25,2021-09-26,35.5507170954,126.8615801738
376,정조대왕 능행차 공동재현,온라인 개최,031-290-3600,2021-10-09,2021-11-07,37.2810769133,127.0152812635
377,제 2회 GSAF 광주소셜아트페스티벌,광주광역시 동구 구성로 263,010-7143-8263,2021-10-02,2021-10-02,35.1577153417,126.9190988997
378,제 21회 삼랑성역사문화축제,인천광역시 강화군 길상면 전등사로 37-41,032-937-0125,2021-10-02,2021-10-10,37.6321461675,126.4843809763
379,제1회 같음 예술제 '뉴 스타 뮤지션',서울특별시 강남구 논현로175길 49,010-3822-4178,2021-08-13,2021-08-14,37.5244072161,127.0260151081
380,제11회 세계인권도시포럼,광주광역시 동구 중앙로196번길 5,062-226-2734,2021-10-07,2021-10-10,35.1504161271,126.9167853986
381,제12회 온라인 대전효문화뿌리축제,온라인 개최,042-606-6293,2021-09-09,2021-10-10,36.2841704586,127.3870029779
382,제12회 유성국화전시회,대전광역시 유성구 어은로 27,042-611-2678,2021-10-02,2021-10-24,36.3607306283,127.3577063021
383,제13회 온라인 사천시농업한마당축제,온라인개최,055-831-3760,2021-10-28,2021-10-31,35.0034719462,128.0639327035
384,제17회 서울와우북페스티벌,서울특별시 마포구 토정로11길 60,02-336-1585,2021-09-27,2021-10-03,37.5461611851,126.9235460497
385,제17회 선인장페스티벌,서울특별시 강남구 영동대로 513,031-229-6177,2021-10-20,2021-10-24,37.5117148467,127.0594429796
386,제18회 부산 동구 차이나타운 특구 문화축제,부산광역시 동구 대영로239번길 56-1,051-440-4062,2021-10-15,2021-10-31,35.1145576333,129.0380836370
387,제18회 자라섬재즈페스티벌,경기도 가평군 가평읍 달전리 1-1,031-581-2813~4,2021-11-05,2021-11-07,37.8104943540,127.5354271394
388,"제18회 호러와 함께, 2021 대구국제힐링공연예술제",대구광역시 남구 계명중앙1길 38,053-255-2555,2021-07-30,2021-10-31,35.8560490918,128.5818559260
389,제2회 섬의 날,통영 도남관광지,055-650-0562,2021-08-06,2021-08-08,34.8257123112,128.4334856538
390,제2회 용인시 평생학습 박람회,경기도 용인시 처인구 중부대로 1199,02-576-5313,2021-10-27,2021-11-05,37.2413038669,127.1775065552
391,제20회 부산과학축전,부산광역시 동구 범일로 85,051-714-3189,2021-10-02,2021-10-10,35.1378081929,129.0589422993
392,제21회 소래포구 비대면 축제,인천광역시 남동구 장도로 86-17,032-453-2142,2021-10-22,2021-11-21,37.3979806750,126.7393253184
393,제21회 한성백제문화제 대백제전,서울특별시 송파구 올림픽로 424,02-2147-2800,2021-10-08,2021-10-10,37.5194456386,127.1224425827
394,제23회 정동문화축제,서울특별시 중구 정동길 2,02-3701-1603,2021-10-18,2021-10-22,37.5680705690,126.9692551537
395,제24회 서울세계무용축제 SIDance2021,서울특별시 마포구 월드컵북로5길 56,02-3216-1185,2021-10-16,2021-11-14,37.5563487524,126.9158492418
